Food Item,Dining Location,Cost,Calories,Nuts,Vegan,Gluten Free,Halal,Vegetarian,No Dairy,Comments,Eggs,Fish,Milk,Peanuts,Sesame,Soy,TreeNuts,Wheat,Sulfites,Last Updated,Food Category
"6"" Smashed Avocado & Turkey Sub",Subway,7.69,550.0,,N,N,,N,,,N,N,,N,N,N,N,Y,,10/1/2025,Sandwich
"6"" Steak & Cheese Sub",Subway,9.89,360.0,,N,N,,N,N,,N,N,Y,N,N,N,N,Y,,10/1/2025,Sandwich
"6"" Steak and Bacon Sub",Subway,11.39,600.0,,N,N,,N,,,N,N,,N,N,N,N,Y,,10/1/2025,Sandwich
"6"" Teriyaki Crunch Sub",Subway,9.19,540.0,,N,N,,N,,,N,N,,N,N,Y,N,Y,,10/1/2025,Sandwich
"6"" Tuna Sub",Subway,7.69,450.0,,N,N,,N,,,N,Y,,N,N,N,N,Y,,10/1/2025,Sandwich
"6"" Turkey Breast Sub",Subway,7.79,290.0,,N,N,,N,,,N,N,,N,N,N,N,Y,,10/1/2025,Sandwich
"6"" Veggie Delite Sub",Subway,6.09,220.0,,,N,Y,Y,,,N,N,,N,N,N,N,Y,,10/1/2025,Sandwich (No Protein)
Air Heads,Leo's Lounge,0.5,,,Y,N,Y,Y,Y,,N,N,N,N,N,N,N,,,9/26/2025,Candy
Alfredo Sauce (3000 millilitre),Teraanga Commons Dining Hall,,,,F,T,F,F,N,,,N,Y,N,N,,N,,,10/6/2025,Sauce
Apple Bran Muffin,Tunnel Junction,3.3,290.0,,N,N,Y,Y,N,,Y,N,Y,N,N,N,N,Y,,9/26/2025,Muffin
Apple Cabbage Slaw,Teraanga Commons Dining Hall,,60.0,,F,T,F,T,,,,N,,N,,,N,N,,10/6/2025,Coleslaw
Apple Cranberry Muffin,Bridgehead,3.95,,,Y,Y,Y,Y,N,,Y,N,Y,,N,N,,Y,,9/24/2025,Muffin
