Food Item,Dining Location,Cost,Calories,Vegan,Gluten Free,Halal,Vegetarian,No Dairy,Comments,Eggs,Fish,Milk,Peanuts,Sesame,Soy,TreeNuts,Wheat,Sulfites,Last Updated,Food Category
Plain Croissant,Tim Hortons,2.29,260,N,N,Y,Y,N,"Enriched wheat flour, Water, Butter, Margarine (palm oil, canola oil, soy lecithin), Sugar, Yeast, Salt, Whey powder, Dextrose, Xanthan gum, Natural flavour, Wheat gluten, Annatto, Turmeric, Ascorbic acid, Enzymes.",N,N,Y,N,N,Y,N,Y,,9/25/2025,Croissant
Plain Croissant,Bridgehead,4.95,,N,N,Y,Y,N,,N,N,Y,,N,N,,Y,,9/24/2025,Croissant
Ham & Cheese Croissant,Riverbank Social,8.5,,N,N,N,N,N,,N,N,Y,N,N,N,N,Y,,1/13/2026,Croissant Sandwich
Ham & Swiss Croissant,Starbucks,4.65,290,N,N,,N,N,,Y,N,Y,N,N,N,N,Y,,1/15/2026,Croissant Sandwich
Scrambled Egg Loaded Croissant,Tim Hortons,5.49,590,N,N,Y,Y,N,"Contains: Wheat, Egg, Milk, Soy May contain: Tree nuts (coconut)",Y,N,Y,N,N,Y,,Y,,9/25/2025,Croissant Sandwich
Cucumber,Teraanga Commons Dining Hall,,10,T,T,T,T,Y,,N,N,N,N,N,N,N,N,,10/6/2025,Cucumber
Vanilla Cupcake,Teraanga Commons Dining Hall,,310,F,F,F,F,N,,Y,N,Y,N,N,,N,Y,,10/6/2025,Cupcake
Butter Chicken,Mike's Place,9.79,,N,N,Y,N,N,,N,N,Y,N,N,N,,N,,10/1/2025,Curry
Chicken Curry,Mike's Place,9.49,,N,N,Y,N,,,N,N,,N,N,N,,N,,10/1/2025,Curry
Chickpea Curry,Teraanga Commons Dining Hall,,150,F,T,T,T,,,N,N,,N,,,N,N,,10/6/2025,Curry
Chickpea Curry,Mike's Place,8.99,,N,N,Y,Y,,,N,N,,N,N,N,,N,,10/1/2025,Curry
Coconut Curry,Bridgehead,12.45,,N,N,,N,,,,N,,,N,N,Y,Y,,9/24/2025,Curry
Curry,Leo's Lounge,5,240,,Y,,N,,,N,N,,N,N,N,N,N,,9/26/2025,Curry
Green Chicken Curry with Jasmine Rice,Thai Kitchen,16,,N,N,,N,N,,N,,,,N,N,,N,,1/15/2026,Curry
Cauliflower Bulgur Curry,Teraanga Commons Dining Hall,,160,T,F,T,T,,"lentil, bulgur, cauliflower, red pepper, onion, coconut milk",N,N,,N,,,N,Y,,10/6/2025,Curry (Vegetable)
4 Cheese Spinach Dip,Mike's Place,9.99,,N,N,Y,Y,N,,N,N,Y,N,N,N,,N,,10/1/2025,Dip
Hummus,Teraanga Commons Dining Hall,,50,T,T,T,T,Y,,N,N,N,N,Y,,N,N,,10/6/2025,Dip
Apple Fritter Donut,Tim Hortons,1.69,330,N,N,Y,Y,N,"Apple Fritter Donut: Enriched wheat flour, Water, Apples (apples, citric acid, calcium chloride, salt), Palm oil shortening (palm oil and/or modified palm oil), Sugars (sugar, dextrose), Yeast, Soybean oil, Whey powder (milk), Cinnamon, Salt, Sodium acid pyrophosphate, Sodium bicarbonate, Mono- and diglycerides, Sodium stearoyl-2-lactylate, Guar gum, Wheat starch, Natural flavour, Ascorbic acid, L-cysteine hydrochloride, Amylase, Xylanase, Sunflower oil. Donut Glaze: Sugar, Water, Rowanberry fruit extract, Guar gum, Tapioca flour, Modified potato starch, Citric acid (ph control), Agar, Xanthan gum.",N,N,Y,N,N,Y,N,Y,,9/25/2025,Donut
Birthday Cake Timbit,Tim Hortons,0.39,80,N,N,Y,Y,N,"Birthday Cake Timbit: Enriched wheat flour, Water, Palm oil shortening (palm oil and/or modified palm oil), Sugars (sugar, dextrose), Sugar sprinkles, Defatted soy flour, Soybean oil, Skim milk powder, Yellow corn flour, Sodium acid pyrophosphate, Sodium bicarbonate, Monocalcium phosphate, Natural flavour, Dried egg yolks, Whey powder (milk), Salt, Modified corn starch, Potato flour, Soy flour, Wheat starch, Xanthan gum, Soy lecithin, Mono- and diglycerides, Propylene glycol mono- and diesters of fatty acids, Sodium stearoyl lactylate. Donut Glaze: Sugar, Water, Rowanberry fruit extract, Guar gum, Tapioca flour, Modified potato starch, Citric acid (ph control), Agar, Xanthan gum. Rainbow Sprinkles: Sugar, Dextrin, Tapioca starch, Dried glucose syrup, Natural colours, Beet powder, Turmeric, Spirulina extract, Carnauba wax, Glycerin, Gum arabic.",Y,N,Y,N,N,Y,N,Y,,9/25/2025,Donut
Blueberry Cheesecake Filled Timbit,Tim Hortons,0.49,50,N,N,Y,Y,N,"Blueberry Cheesecake Filled Yeast Timbit: Enriched wheat flour, Filling (water, sugars [sugar, blueberry juice concentrate], cream cheese [milk ingredients, salt, locust bean gum, bacterial culture], modified corn starch, salt, lactic acid, natural flavour, citrus fibre, rowanberry fruit extract, tapioca flour, hydroxypropyl methylcellulose), Water, Palm oil shortening (palm oil and/or modified palm oil), Yeast, Sugars (sugar, dextrose), Soybean oil, Whey powder (milk), Salt, Sodium acid pyrophosphate, Sodium bicarbonate, Mono- and diglycerides, Sodium stearoyl-2-lactylate, Guar gum, Wheat starch, Natural flavour, Ascorbic acid, L-cysteine hydrochloride, Amylase, Xylanase.",Y,N,Y,N,N,Y,N,Y,,9/25/2025,Donut
Boston Cream Donut,Tim Hortons,1.69,240,N,N,Y,Y,N,"Contains: Milk, Wheat & Gluten, Sulphites May Contain: Egg, Soy, Tree Nuts",,N,Y,N,N,,,Y,,9/25/2025,Donut
Canadian Maple Donut,Tim Hortons,1.69,250,N,N,Y,Y,N,"Contains: Wheat, Milk, Soy Contains gluten (barley)",N,N,Y,N,N,Y,N,Y,,9/25/2025,Donut
Chocolate Dip Donut,Tim Hortons,1.69,220,N,N,Y,Y,N,"Yeast Donut: Enriched wheat flour, Water, Palm oil shortening (palm oil and/or modified palm oil), Yeast, Sugars (sugar, dextrose), Soybean oil, Whey powder (milk), Salt, Sodium acid pyrophosphate, Sodium bicarbonate, Mono- and diglycerides, Sodium stearoyl-2-lactylate, Guar gum, Wheat starch, Natural flavour, Ascorbic acid, L-cysteine hydrochloride, Amylase, Xylanase. Chocolate Fondant: Sugars (sugar, glucose [corn syrup]), Water, Caramel colour, Anthocyanins (colour), Cocoa (processed with alkali), Rowanberry fruit extract, Tapioca flour, Natural flavour.",N,N,Y,N,N,Y,N,Y,,9/25/2025,Donut
Chocolate Glazed Timbit,Tim Hortons,0.39,80,N,N,Y,Y,N,"Chocolate Cake Timbit: Palm oil shortening (palm oil and/or modified palm oil), Enriched wheat flour, Water, Sugar, Cocoa (processed with alkali), Soybean oil, Defatted soy flour, Dried whole milk, Dried egg yolks, Sodium acid pyrophosphate, Sodium bicarbonate, Monocalcium phosphate, Modified corn starch, Mono- and diglycerides, Natural flavours, Polyglycerol esters of fatty acids, Rice starch, Salt, Soy lecithin, Xanthan gum. Donut Glaze: Sugar, Water, Rowanberry fruit extract, Guar gum, Tapioca flour, Modified potato starch, Citric acid (ph control), Agar, Xanthan gum. Donut Glaze: Sugar, Water, Rowanberry fruit extract, Guar gum, Tapioca flour, Modified potato starch, Citric acid (ph control), Agar, Xanthan gum.",Y,N,Y,N,N,Y,N,Y,,9/25/2025,Donut
Double Chocolate Donut,Tim Hortons,1.69,310,N,N,Y,Y,N,"Chocolate Cake Donut: Palm oil shortening (palm oil and/or modified palm oil), Enriched wheat flour, Water, Sugar, Cocoa (processed with alkali), Soybean oil, Defatted soy flour, Dried whole milk, Dried egg yolks, Sodium acid pyrophosphate, Sodium bicarbonate, Monocalcium phosphate, Modified corn starch, Mono- and diglycerides, Natural flavours, Polyglycerol esters of fatty acids, Rice starch, Salt, Soy lecithin, Xanthan gum. Chocolate Fondant: Sugars (sugar, glucose [corn syrup]), Water, Caramel colour, Anthocyanins (colour), Cocoa (processed with alkali), Rowanberry fruit extract, Tapioca flour, Natural flavour.",Y,N,Y,N,N,Y,N,Y,,9/25/2025,Donut
Honey Cruller Donut,Tim Hortons,1.69,320,N,N,Y,Y,N,"Cruller Donut: Water, Palm oil shortening (palm oil and/or modified palm oil), Wheat starch, Liquid whole eggs, Yellow corn flour, Mono- and diglycerides, Sodium bicarbonate, Sodium acid pyrophosphate, Glucono delta lactone, Salt, Canola oil, Sodium caseinate (milk), Dextrose, Natural flavour. Donut Glaze: Sugar, Water, Rowanberry fruit extract, Guar gum, Tapioca flour, Modified potato starch, Citric acid (ph control), Agar, Xanthan gum.",Y,N,Y,N,N,N,N,Y,,9/25/2025,Donut
Honey Dip Timbit,Tim Hortons,0.39,50,N,N,Y,Y,N,"Yeast Timbit: Enriched wheat flour, Water, Palm oil shortening (palm oil and/or modified palm oil), Yeast, Sugars (sugar, dextrose), Soybean oil, Whey powder (milk), Salt, Sodium acid pyrophosphate, Sodium bicarbonate, Mono- and diglycerides, Sodium stearoyl-2-lactylate, Guar gum, Wheat starch, Natural flavour, Ascorbic acid, L-cysteine hydrochloride, Amylase, Xylanase. Donut Glaze: Sugar, Water, Rowanberry fruit extract, Guar gum, Tapioca flour, Modified potato starch, Citric acid (ph control), Agar, Xanthan gum.",N,N,Y,N,N,Y,N,Y,,9/25/2025,Donut
Maple Dip Donut,Tim Hortons,1.69,220,N,N,Y,Y,N,"Contains: Milk, Wheat & Gluten May Contain: Soy, Sulphites, Tree Nuts, Egg",,N,Y,N,N,,,Y,,9/25/2025,Donut
Old Fashioned Plain Donut,Tim Hortons,1.69,280,N,N,Y,N,N,"White Cake Donut: Enriched wheat flour, Water, Palm oil shortening (palm oil and/or modified palm oil), Sugars (sugar, dextrose), Defatted soy flour, Soybean oil, Skim milk powder, Yellow corn flour, Sodium acid pyrophosphate, Sodium bicarbonate, Monocalcium phosphate, Dried egg yolks, Whey powder (milk), Salt, Modified corn starch, Potato flour, Spice, Soy lecithin, Sodium stearoyl lactylate, Mono- and diglycerides, Propylene glycol of mono- and di-esters of fatty acids, Natural flavour.",Y,N,Y,N,N,Y,N,Y,,9/25/2025,Donut
Spiced Vanilla Filled Ring Donut,Tim Hortons,1.99,320,N,N,Y,Y,N,"Vanilla Filled Yeast Donut: Enriched Wheat Flour | Filling (Spread [Canola Oil, Sugar, Modified Palm and Palm Kernel Oils, Water, Pea Protein, Monoglycerides, Salt, Natural Flavours, Beta-Carotene (Colour)], Sugars [Icing Sugar, Liquid Invert Sugar], Soybean Oil, Natural Flavour) | Water | Palm Oil Shortening (Palm Oil and/or Modified Palm Oil) | Yeast | Sugars (Sugar, Dextrose) | Soybean Oil | Whey Powder (Milk) | Salt | Sodium Acid Pyrophosphate | Sodium Bicarbonate | Mono- and Diglycerides | Sodium Stearoyl-2-Lactylate | Guar Gum | Wheat Starch | Natural Flavour | Ascorbic Acid | L-Cysteine Hydrochloride | Amylase | Xylanase.",N,N,Y,N,N,Y,Y,Y,,9/25/2025,Donut
Vanilla Dip Donut,Tim Hortons,1.69,250,N,N,Y,Y,N,"Contains: Milk, Wheat & Gluten May Contain: Tree Nuts, Egg, Soy",,N,Y,N,N,,,Y,,9/25/2025,Donut
Creamy Scrambled Egg,Teraanga Commons Dining Hall,,170,F,F,T,T,N,,Y,N,Y,N,N,N,N,N,N,10/6/2025,Egg
Egg (118 millilitre),Teraanga Commons Dining Hall,,180,F,T,T,T,Y,,Y,N,N,N,N,N,N,,N,10/6/2025,Egg
Egg White (118 millilitre),Teraanga Commons Dining Hall,,60,F,T,T,T,Y,,Y,N,N,N,N,N,N,,N,10/6/2025,Egg
Free Range Egg,Riverbank Social,2,,N,T,T,T,N,,Y,N,N,N,N,N,N,N,N,1/13/2026,Egg
Hard Cooked Egg (1 piece),Teraanga Commons Dining Hall,,60,F,T,T,T,Y,,Y,N,N,N,N,N,N,N,N,10/6/2025,Egg
Maple Brown Butter Scrambled Egg Loaded Box,Tim Hortons,5.99,480,N,Y,Y,Y,N,"Contains: Egg, Milk, Soy May contain: Tree nuts (coconut)",Y,N,Y,N,N,Y,,N,N,9/25/2025,Egg
Maple Brown Butter Scrambled Egg Loaded Croissant,Tim Hortons,5.99,610,N,Y,Y,Y,N,"Contains: Wheat, Egg, Milk, Soy May contain: Tree nuts (coconut)",Y,N,Y,N,N,Y,,Y,N,9/25/2025,Egg
Maple Brown Butter Scrambled Egg Loaded Wraps,Tim Hortons,5.99,510,N,Y,Y,Y,N,"Contains: Wheat, Egg, Milk, Soy May contain: Tree nuts (coconut)",Y,N,Y,N,N,Y,,Y,N,9/25/2025,Egg
Scrambled Egg Loaded Box,Tim Hortons,5.49,600,N,N,Y,Y,N,"Contains: Milk, Soy & Egg",Y,N,Y,N,N,Y,N,N,N,9/25/2025,Egg
Roasted Eggplant,Teraanga Commons Dining Hall,,70,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Eggplant
Energy Bite,Bridgehead,2.35,,N,N,Y,Y,,,,N,,,N,N,Y,Y,,9/24/2025,Energy Bite
Baked Falafel,Urban Deli,8.9,,Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,,9/26/2025,Falafel
Falafel,Teraanga Commons Dining Hall,,210,T,T,T,T,Y,,N,N,N,N,,,N,,,10/6/2025,Falafel
Falafel Combo,Shawarma Palace,14,,N,N,Y,Y,Y,,N,N,N,N,,N,N,Y,,9/26/2025,Falafel
Falafel Plate,Shawarma Palace,18,,N,N,Y,Y,Y,,N,N,N,N,,N,N,N,,9/26/2025,Falafel
Falafel Sandwich,Shawarma Palace,9.5,,N,N,Y,Y,Y,,N,N,N,N,,N,N,Y,,9/26/2025,Falafel
Spicy Falafel Pocket,Starbucks,5.25,230,N,N,N,N,Y,,N,N,N,N,Y,Y,N,Y,,1/15/2026,Falafel
Pan-Seared ASC Salmon Filet,Riverbank Social,10,,N,Y,N,N,Y,,N,Y,N,N,N,N,N,N,N,1/13/2026,Fish
Tuna Salad (59 millilitre),Teraanga Commons Dining Hall,,90,F,T,F,F,,,,Y,,N,,,N,,N,10/6/2025,Fish
Tuna Salad (80 millilitre),Teraanga Commons Dining Hall,,100,F,T,F,F,,,,Y,,N,,,N,,N,10/6/2025,Fish
Hand Batter MSC Certified Fish & Chips,Oasis,15,990,N,N,N,N,N,,,Y,N,N,N,N,N,Y,,1/15/2026,Fish and Chips
Classic French Fry,Burger 101,4.9,1130,Y,N,Y,Y,Y,,N,N,N,N,N,N,N,N,,1/14/2026,French Fries
"Combo - Wedges, Fry Sauce & a Fountain Beverage",Colonel by Chicken,5.9,,N,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,,1/14/2026,French Fries
Cone of Freshly Cut Fries,Riverbank Social,6,,N,N,Y,Y,Y,,N,N,N,N,N,N,N,N,,1/13/2026,French Fries
French Fries,Mike's Place,4.49,,,N,Y,Y,Y,,N,N,N,N,N,N,,N,,10/1/2025,French Fries
Fresh Cut Fries,Oasis,4.4,770,Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,,1/15/2026,French Fries
Freshly Cut French Fries,Rodney's Kitchen,4.9,1130,N,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,,1/13/2026,French Fries
Fries,Ollies,5.5,,N,N,N,N,Y,,N,N,N,N,N,N,N,N,,1/14/2026,French Fries
Home Fries,Riverbank Social,4.25,,N,N,Y,Y,Y,,N,N,N,N,N,N,N,N,,1/13/2026,French Fries
Kimchi Fries,Ollies,8,,N,N,N,N,Y,,N,N,N,N,N,N,N,N,,1/14/2026,French Fries
Potato Wedges,Teraanga Commons Dining Hall,,110,F,F,F,F,,,N,N,,N,N,,N,N,,10/6/2025,French Fries
Potato Wedges with Fry Sauce,Colonel by Chicken,4.2,760,N,Y,Y,Y,Y,Our delicious seasoned potato wedges served with our homemade fry sauce,N,N,N,N,N,N,N,N,,1/14/2026,French Fries
Spicy Spiral Fries,Burger 101,4.8,,Y,N,Y,Y,Y,,N,N,N,N,N,N,N,N,,1/14/2026,French Fries
Sweet Potato Fries,Ollies,7.5,,Y,N,N,N,Y,,N,N,N,N,N,N,N,N,,1/14/2026,French Fries
Sweet Potato Fries with Roasted Garlic,Riverbank Social,8,,N,N,Y,Y,Y,,N,N,N,N,N,N,N,N,,1/13/2026,French Fries
Cajun-Style Dirty Rice,Teraanga Commons Dining Hall,,160,T,T,T,T,Y,"black beans, onion, red pepper, celery, peas, spices, brown rice",N,N,,N,N,,N,N,,10/6/2025,Fried Rice
Thai Fried Rice,Thai Kitchen,16,,,N,,,,,Y,Y,N,,,Y,,Y,,1/15/2026,Fried Rice
Side of Fresh Fruit,Riverbank Social,4.99,,Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,1/13/2026,Fruits
Garlic,Teraanga Commons Dining Hall,,,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Garlic
Chickpea Panzanella Ricotta Salad,Teraanga Commons Dining Hall,,340,F,F,F,F,N,"crispy pesto chickpeas, ricotta, kalamata olives, cucumber, tomato, celery, red pepper, capers, balsamic glaze",N,N,Y,N,N,,N,Y,,10/6/2025,Grain Salad
Creamy Chickpea Salad (1000 gram),Teraanga Commons Dining Hall,,,T,T,T,T,N,"chickpeas,Â celery,Â green onion,Â red pepper,Â italian parsley, tahini lemon garlic vinaigrette",,N,,N,,,N,N,,10/6/2025,Grain Salad
Kale Apple Chickpea Salad (1000 gram),Teraanga Commons Dining Hall,,,T,T,T,T,,"chickpeas, cauliflower,Â carrot, kale, red onion,Â apple, fresh parsley, maple dijon vinaigrette",N,N,,N,,,N,N,,10/6/2025,Grain Salad
Quinoa Salad,Bridgehead,11.95,,N,Y,Y,Y,,,N,N,,,N,N,N,,,9/24/2025,Grain Salad
Tabouli,Shawarma Palace,7,,Y,Y,Y,Y,N,,N,N,N,N,,N,N,N,,9/26/2025,Grain Salad
Beets & FrisÃ©e,Riverbank Social,12,,N,Y,N,Y,N,"Local red beets, Frisee, blue cheese, labneh, toasted pecans",N,N,Y,N,N,N,Y,N,N,1/13/2026,Green Salad
Caesar Salad,Riverbank Social,10,,N,N,N,N,N,,Y,N,N,N,N,N,N,Y,N,1/13/2026,Green Salad
Entree Salad,Mike's Place,7.99,,N,N,Y,Y,Y,"Mixed salad greens, tomatoes and croutons with your choice of dressing",N,N,N,N,N,N,,Y,N,10/1/2025,Green Salad
Fattoush Salad,Teraanga Commons Dining Hall,,60,F,F,F,F,Y,"pita croutons, lettuce, cucumber, tomato, green pepper, red onion, lemon vinaigrette",N,N,N,N,,Y,N,,N,10/6/2025,Green Salad
Garden Salad,Ollies,7.5,,N,Y,Y,Y,Y,,Y,Y,N,Y,N,N,Y,N,N,1/14/2026,Green Salad
Greek Salad,Shawarma Palace,7,,N,Y,Y,Y,N,,N,N,Y,N,,N,N,N,N,9/26/2025,Green Salad
Kale Caesar Salad,Bridgehead,11.95,,N,N,Y,Y,N,,Y,N,Y,,N,N,Y,Y,N,9/24/2025,Green Salad
Leafy Greens Salad,Riverbank Social,10,,Y,Y,Y,Y,N,"Radishes, Fruit D'or Sund-Dried Cranberries, Mini cucumbers, Cherry tomatoes, toasted Pumplin seeds and maple cider vinegrette",N,N,N,N,N,N,N,N,N,1/13/2026,Green Salad
Seaweed Salad,Bento Boxes,6,90,Y,Y,Y,Y,Y,,N,N,N,N,Y,N,N,N,N,1/14/2025,Green Salad
Starter Salad,Mike's Place,4.99,,N,N,Y,Y,Y,"Mixed salad greens, tomatoes and croutons with your choice of dressing",N,N,N,N,N,N,,Y,N,10/1/2025,Green Salad
Superfood Salad (1000 gram),Teraanga Commons Dining Hall,,,F,F,T,T,,"chickpeas, couscous, tomato,Â cucumber,Â red onion, kale,Â feta cheese,Â greek vinaigrette",N,N,,N,,,N,,N,10/6/2025,Green Salad
Yucatan Salad,Riverbank Social,10,,Y,Y,Y,Y,Y,"Leaves, Roasted Sweet Corn, Heirloom, Tomato, Red onion, Avocado, Spicy pea tempeh, tortilla allummette and cilantro vinegrette",N,N,N,N,N,N,Y,N,N,1/13/2026,Green Salad
Grilled Ham,Teraanga Commons Dining Hall,,30,F,T,F,F,Y,,N,N,N,N,N,,N,N,,10/6/2025,Ham
Ham (3 slice),Teraanga Commons Dining Hall,,60,F,T,F,F,Y,,N,N,N,N,N,,N,N,,10/6/2025,Ham
Ham (59 millilitre),Teraanga Commons Dining Hall,,30,F,T,F,F,Y,,N,N,N,N,N,,N,N,,10/6/2025,Ham
Smoked Ham,Riverbank Social,2.99,,N,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,,1/13/2026,Ham
Bacon Cheeseburger,Oasis,10.8,570,N,N,N,N,N,Can upgrade burger to Lightlife patty for Vegan,,N,Y,N,,N,N,Y,,1/15/2026,Hamburger
Bacon Cheeseburger,Rodney's Kitchen,11.5,650,N,N,N,N,N,,,N,Y,N,N,N,N,Y,,1/13/2026,Hamburger
Burger Patty,Rodney's Kitchen,3.5,230,N,N,N,N,Y,,,N,N,N,N,N,N,N,,1/13/2026,Hamburger
Cheeseburger,Oasis,8.9,530,N,N,Y,N,N,Can upgrade burger to Lightlife patty for Vegan,,N,Y,N,,N,N,Y,,1/15/2026,Hamburger
Chicken Burger,Mike's Place,8.99,,N,N,Y,N,N,,,N,Y,N,N,N,,Y,,10/1/2025,Hamburger
Hamburger,Burger 101,8,470,N,N,Y,N,N,Our freshly-made patty topped with your favourite condiments,,N,N,N,N,N,N,Y,,1/14/2026,Hamburger
Hamburger,Oasis,7.5,470,N,N,Y,N,N,Can upgrade burger to Lightlife patty for Vegan,,N,Y,N,,N,N,Y,,1/15/2026,Hamburger
Hamburger,Rodney's Kitchen,8,500,N,N,N,N,N,,,N,Y,N,,N,N,Y,,1/13/2026,Hamburger
Lightlife Burger,Rodney's Kitchen,9.2,520,Y,N,N,Y,N,,N,N,Y,N,,N,N,Y,,1/13/2026,Hamburger
Lightlife Burger,Burger 101,9.2,,Y,Y,Y,Y,Y,A plant-based vegan patty on your choice of brioche or gluten-free bun with your selection of toppings,N,N,N,N,N,Y,N,Y,,1/14/2026,Hamburger
Lightlife Patty,Rodney's Kitchen,4.2,270,Y,N,N,Y,N,,N,N,N,N,N,N,N,N,,1/13/2026,Hamburger
Sliders,Burger 101,6.95,,N,N,N,N,N,Sliders with lettuce and cheese,,N,Y,N,N,N,N,Y,,1/14/2026,Hamburger
The Goblet of Fire,Ollies,16,,N,N,Y,N,N,You can exchange for black been patty in which case GF and Vegetarian,N,N,Y,N,N,N,N,Y,,1/14/2026,Hamburger
The Ring,Ollies,16,,N,N,Y,N,N,You can exchange for black been patty in which case GF and Vegetarian,N,N,Y,N,N,N,N,Y,,1/14/2026,Hamburger
The Room,Ollies,16,,N,N,Y,N,N,You can exchange for black been patty in which case GF and Vegetarian,N,N,Y,N,N,N,N,Y,,1/14/2026,Hamburger
The Royale,Ollies,14,,N,N,Y,N,N,You can exchange for black been patty in which case GF and Vegetarian,N,N,N,N,N,N,N,Y,,1/14/2026,Hamburger
The Royale With Cheese,Ollies,15,,N,N,Y,N,N,You can exchange for black been patty in which case GF and Vegetarian,N,N,Y,N,N,N,N,Y,,1/14/2026,Hamburger
Veggie Patty,Rooster's,10.99,,Y,,Y,Y,Y,"Half a soy based vegitarian patty, wonderfully seasoned with your choice of toppings.",N,N,N,N,N,Y,N,Y,,1/13/2026,Hamburger
Hash Brown,Teraanga Commons Dining Hall,,60,N,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,,10/6/2025,Hash Browns
Hashbrown,Tim Hortons,2.19,120,Y,Y,Y,Y,Y,"Hash Brown: Potatoes, Canola oil, Salt, Dehydrated potatoes (mono- and diglycerides, sodium acid pyrophosphate and citric acid [to maintain colour]), Sodium acid pyrophosphate (to maintain colour), Sugars (dextrose), Natural flavour.",N,N,N,N,N,N,N,N,,9/25/2025,Hash Browns
HashBrown,Rooster's,1.99,,N,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,,1/13/2026,Hash Browns
Italian Sausage on Portuguese Bun,Rodney's Kitchen,9,600,N,N,N,N,Y,,N,N,N,N,N,N,N,Y,,1/13/2026,Hot Dog
Ice Cream,Leo's Lounge,1,,N,Y,Y,Y,N,,N,N,Y,,N,,,N,,9/26/2025,Ice Cream
Baby Kale,Teraanga Commons Dining Hall,,,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Kale
Korean Lentils,Teraanga Commons Dining Hall,,,T,F,T,T,Y,,N,N,N,N,,,N,N,N,10/6/2025,Lentils
Banana Loaf,Starbucks,4.45,360,N,N,Y,Y,Y,,Y,N,N,N,N,Y,N,Y,,1/15/2026,Loaf
Cherry Lemon Loaf,Bridgehead,3.95,,N,N,Y,Y,N,,Y,N,Y,,N,N,Y,Y,,9/24/2025,Loaf
Chocolate Quinoa Loaf,Bridgehead,3.95,,N,Y,Y,Y,N,,Y,N,Y,,N,N,,Y,,9/24/2025,Loaf
Iced Lemon Loaf,Starbucks,4.45,430,N,N,Y,Y,Y,,Y,N,N,N,N,Y,N,Y,,1/15/2026,Loaf
Pumpkin & Pepita Loaf,Starbucks,4.45,380,N,N,Y,Y,Y,,Y,N,N,N,N,Y,N,Y,,1/15/2026,Loaf
Pumpkin Loaf,Bridgehead,3.95,,N,N,Y,Y,N,,Y,N,Y,,N,N,,Y,,9/24/2025,Loaf
Backed Mac & Cheese,Colonel by Chicken,4.5,,N,N,Y,Y,N,,N,N,Y,N,N,N,N,N,,1/14/2026,Macaroni And Cheese
Apple Bran Muffin,Tunnel Junction,3.3,290,N,N,Y,Y,N,,Y,N,Y,N,N,N,N,Y,,9/26/2025,Muffin
Apple Cranberry Muffin,Bridgehead,3.95,,Y,Y,Y,Y,N,,Y,N,Y,,N,N,,Y,,9/24/2025,Muffin
Banana Chocolate Muffin,Bridgehead,3.95,,Y,Y,Y,Y,N,,Y,N,Y,,N,N,,Y,,9/24/2025,Muffin
Blueberry Crumble Muffin,Tunnel Junction,3.3,310,N,N,Y,Y,N,,Y,N,Y,N,N,N,N,Y,,9/26/2025,Muffin
Blueberry Muffin,Starbucks,3.65,350,N,N,Y,Y,N,,Y,N,Y,N,N,Y,Y,Y,,1/15/2026,Muffin
Carrot Cake with Walnut Muffin,Tim Hortons,2.59,360,N,N,Y,Y,N,"Enriched wheat flour, Sugars (sugar, corn syrup solids), Water, Carrots, Cream cheese filling (sugars [invert sugar, sugar, dextrose], water, cream cheese [milk], sorbitol, modified corn starch, salt, lactic acid, titanium dioxide, natural flavour, potassium sorbate, sodium benzoate, locust bean gum, xanthan gum, beta-carotene), Soybean and/or canola oils, Liquid whole eggs, Glazed walnuts (walnuts, sugars [sugar, corn syrup], salt, canola oil, soy lecithin, rosemary extract, capsicum oleoresin [soybean oil, chili pepper extractives], citric acid), Pineapple, Buttermilk powder (milk), Modified corn starch, Sodium bicarbonate, Sodium acid pyrophosphate, Salt, Spices, Monocalcium phosphate, Natural flavour, Caramel colour, Lemon juice concentrate, Xanthan gum, Guar gum, Monoglycerides, Amylase.",Y,N,Y,N,N,Y,Y,Y,,9/25/2025,Muffin
"Carrot, Pineapple & Pumpkin Seed Muffin",Tunnel Junction,3.3,330,N,N,Y,Y,N,,Y,N,Y,N,N,N,N,Y,,9/26/2025,Muffin
Chocolate Chip Muffin,Tim Hortons,2.29,420,N,N,Y,Y,N,"Enriched wheat flour, Water, Sugars (sugar, corn syrup solids), Semi-sweet chocolate chips (sugars [sugar, dextrose], unsweetened chocolate, cocoa butter, soy lecithin, natural flavour), Soybean and/or canola oils, Liquid whole eggs, Modified corn starch, Salt, Sodium bicarbonate, Sodium acid pyrophosphate, Natural flavour, Monocalcium phosphate, Xanthan gum, Monoglycerides, Guar gum, Whey powder (milk), Amylase.",Y,N,Y,N,N,Y,N,Y,,9/25/2025,Muffin
Coconut Muffin,Tunnel Junction,3.3,330,N,N,Y,Y,N,,Y,N,Y,N,N,N,N,Y,,9/26/2025,Muffin
