Food Category,ML Coverage,Calories,Percent Fruits and Vegetables,Percent Grain,Percent Dairy,Percent Protein,Fat_g,Carbs_g,Protein_g,Fiber_g,Sugar_g,Vegan,Gluten Free,Halal,Vegetarian,No Dairy,Eggs,Fish,Milk,Peanuts,Sesame,Soy,TreeNuts,Wheat,Sulfites
Fruits,,70,100,0,0,0,0.25,20,0.75,3,16,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N
Garlic,,5,100,0,0,0,0,1,0.2,0.1,0,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N
Grain Salad,,250,25,60,10,5,13.269,26.196,6.036,1.509,2.079,,,,,,,N,,N,,,N,,
Green Salad,,80,90,5,5,0,2.97,11.68,1.826,1.349,6.651,,,Y,Y,,,,,,,N,,,N
Ham,,107,0,0,0,100,5.266,3.381,28.093,0,3.146,N,Y,,,Y,N,N,N,N,N,,N,N,
Hamburger,,530,20,35,10,35,29.07,40.57,26.5,3.51,5.6,N,N,,,N,,N,Y,N,,,N,Y,
Hash Browns,,130,100,0,0,0,8,14,0.998,1.98,0,,Y,Y,Y,Y,N,N,N,N,N,N,N,N,
Hot Dog,,600,0,45,5,50,39.9,4.985,55,0,0,N,N,N,N,N,Y,N,N,N,N,N,N,Y,
Ice Cream,,250,6,10,84,0,10.968,36.036,4.189,1.176,33.108,N,Y,Y,Y,N,N,N,Y,,N,,,N,
Kale,,33,100,0,0,0,0.825,5.775,3.3,2.462,1.65,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N
Lentils,,123,50,0,0,50,0.0672,21.8,8.26,3.67,0,Y,N,Y,Y,Y,N,N,N,N,,,N,N,N
Loaf,,400,5,80,5,10,4.762,76.51,14.19,4.286,8.349,N,N,Y,Y,,Y,N,,,N,,,Y,
Macaroni And Cheese,,422,0,85,15,0,18.1,49,15.8,3.11,4.33,,N,N,Y,Y,N,N,Y,N,N,N,N,N,
Muffin,,360,10,70,15,5,15.45,50.858,4.305,1.053,30.226,N,N,Y,Y,N,Y,N,Y,N,N,N,N,Y,
Mushroom,,15,100,0,0,0,0.049,3.695,0.47,0.565,0.109,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N
Nachos,,450,10,65,25,0,23.757,52.717,6.38,4.42,2.246,N,,Y,Y,N,N,N,Y,N,N,N,,Y,
Nachos With Protein,,650,10,60,20,10,37.181,63.529,18.457,10.98,4.84,N,N,,N,N,N,N,Y,N,N,N,,Y,
Noodles,,203,10,75,0,15,9.12,27.3,4.69,2.88,0,,,,,,N,,N,N,,Y,N,,
Oatmeal,,150,10,80,5,5,2.58,27.5,6.56,4.02,0.41,,,Y,Y,,N,N,,N,N,N,N,,N
Olive,,52,100,0,0,0,5.16,1.98,0.46,1.6,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N
Omelette,,220,3,0,7,90,8.99,11,18,0.908,3,N,N,,,N,Y,N,Y,N,N,,N,N,N
Onion,,28,100,0,0,0,0.111,6.53,0.756,1.02,4.9,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N
Onion Rings,,246,70,30,0,0,12.2,30.9,3.84,2.04,3.82,,N,Y,Y,Y,,N,N,N,N,,N,Y,
Pad Thai,,760,20,45,10,25,6,165.8,12,4.1,40,N,N,Y,Y,Y,Y,Y,N,Y,,,,Y,
Pancake,,350,0,90,5,5,14.94,43.6,9.86,2.1,18,N,N,Y,Y,N,Y,N,Y,N,N,N,N,Y,
Parfait,,310,10,15,70,5,3.78,60.05,7.935,2.91,37.238,N,,Y,Y,N,N,N,Y,,,,N,,
Pasta,,250,0,95,5,0,1.48,48.66,9.24,2.87,0.891,,N,,,,,N,,N,N,,N,Y,
Pasta Salad,,790,3,80,10,7,46.22,69.8,22.09,4.17,5.329,,,,,N,,,,,,,,,
Pastry,,250,5,85,5,5,13.9,27.69,4.346,0.808,12.308,N,N,Y,Y,N,Y,N,Y,,N,N,,Y,
Peas,,101,100,0,0,0,1.5,16.5,6.15,7.74,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N
Pepper,,17,100,0,0,0,0.093,4.06,0.612,0.765,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N
Perogies,,350,10,85,5,0,2.059,61.765,10.294,2.1,0,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,
Pho,,527,15,60,0,25,6.04,97,22,3.06,18,,,,,Y,N,,N,N,,,N,Y,
Pickles,,11,100,0,0,0,0.394,1.824,1.824,0.917,1.173,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,
Pita,,165,0,100,0,0,0.72,33.4,5.46,1.32,0.78,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,
Pita With Protein,Don't bother,500,25,35,10,30,22.656,33.9,28.344,2.358,7.948,N,N,N,N,,,N,,N,N,N,N,Y,
Pizza,,286,3,72,15,10,13.6,29.3,11.5,1.73,3.07,N,N,,N,N,,N,Y,N,,,N,Y,
Pizza (Cheese),Don't bother,280,0,80,20,0,12.6,29.9,11.7,1.7,3.21,N,N,Y,Y,N,,N,Y,N,N,,N,Y,
Pizza (Vegetarian),Don't bother,300,10,75,15,0,11,31.1,19,3.98,7.01,N,N,Y,Y,N,,N,Y,N,,,N,Y,
Poke Bowl,,650,10,60,0,30,18.534,67.383,45.01,0,0,,N,N,N,Y,,Y,N,N,Y,Y,N,N,
Popcorn,,110,15,75,5,5,1.29,22.1,3.66,4.11,0.247,Y,Y,Y,Y,N,N,N,Y,N,N,,N,N,
Pork,,350,0,0,0,100,18.294,34.31,11.94,1.346,13.88,N,,N,N,Y,N,N,N,N,N,,N,N,N
Potato,,145,65,25,0,10,0.156,33.7,3.06,2.34,2.65,,Y,Y,Y,,N,N,,N,N,N,N,N,N
Potato Salad,,358,90,0,5,5,20.5,28,6.7,3.25,0,,,,,,Y,N,Y,N,N,,N,N,
Poutine,,700,15,45,30,10,43.077,56.43,21.538,0,2.69,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,
Poutine with Protein,,900,10,45,20,25,54.9,53.713,76.264,0,2.563,N,N,,N,N,N,N,Y,N,N,N,N,Y,
Pretzel,,389,0,100,0,0,3.56,79.8,9.43,1.96,0.287,N,N,Y,Y,Y,,N,N,N,,N,,Y,
